X_Handle,amount,type,sentence,post_url
blt_s,0,,,
Jinnat1081433,0,,,
zarrin1524960,0,,,
JohnRob28973609,0,,,
alicehailey__,0,,,
Duaverie,0,,,
Tyetnhu123,0,,,
palte81170,0,,,
FRANCISUGW1930,0,,,
MrRadTard,0,,,
uputkucrypto,0,,,
gsjab130937,0,,,
KielW34809,0,,,
BigPaul0x,0,,,
blackhunter2028,0,,,
MdRubel6060,0,,,
opikts,0,,,
MrRadTard,0,,,
BGameAlliance,0,,,
cryptodaaddy,0,,,
UsmanAyomi98409,0,,,
0xMilker,0,,,
TaoMachine,0,,,
jacmelvencoins,0,,,
vutungpi,0,,,
Chelsey_Smith1,0,,,
Alexanderacho__,0,,,
Maria_andrew0,0,,,
CM_Community19,0,,,
gavunwud_agent,0,,,
LarryR52421,0,,,
JoslynEtha6521,0,,,
LKittie60630,0,,,
AmandaSampgi,0,,,
newRoganold,0,,,
whoisuglyy,0,,,
alicehailey__,0,,,
Maria_andrew0,0,,,
ji_neda26086,0,,,
MairaAlegria55,0,,,
martinez_j89363,0,,,
JeriTa13182,0,,,
ngatemotoin,0,,,
DefiInvestor89,0,,,
DeveloperJubril,0,,,
JillHaney393139,0,,,
LillianaBe57898,0,,,
tina92430771296,0,,,
Destealer1,0,,,
SinhaBintesimu,0,,,
ROYSHILL100,0,,,
mike2_moi,0,,,
MC_Kabana,0,,,
AbdullahiIdaji2,0,,,
Bela358204,0,,,
GSlits2757,0,,,
TolyAI,0,,,
sh1newow,0,,,
chase_luce39101,0,,,
bermanj_fashion,0,,,
5VO55ryJo4nLA2a,0,,,
ayeni23089,0,,,
ajipamu28920901,0,,,
renakepick1,0,,,
Leo_D_Crypto,0,,,
Omairatorre,0,,,
MaryDavis48295,0,,,
HungMai96156456,0,,,
Bela358204,0,,,
