X_Handle,amount,type,sentence,post_url
euler_mab,0,,,
JennyKim1111,0,,,
BIG_O_XRP1,0,,,
quirkly_,0,,,
blacc_sammy,0,,,
itsanita_ai,0,,,
Lumi286,0,,,
Lumi286,0,,,
Lumi286,0,,,
Lumi286,0,,,
Lumi286,0,,,
Lumi286,0,,,
Lumi286,0,,,
Lumi286,0,,,
Lumi286,0,,,
violetagealapu,0,,,
violetagealapu,0,,,
violetagealapu,0,,,
violetagealapu,0,,,
violetagealapu,0,,,
violetagealapu,0,,,
violetagealapu,0,,,
violetagealapu,0,,,
violetagealapu,0,,,
lumihqm35,0,,,
lumihqm35,0,,,
lumihqm35,0,,,
lumihqm35,0,,,
lumihqm35,0,,,
lumihqm35,0,,,
lumihqm35,0,,,
lumihqm35,0,,,
lumihqm35,0,,,
EBrittanie72292,0,,,
EBrittanie72292,0,,,
EBrittanie72292,0,,,
EBrittanie72292,0,,,
EBrittanie72292,0,,,
EBrittanie72292,0,,,
EBrittanie72292,0,,,
EBrittanie72292,0,,,
EBrittanie72292,0,,,
CindyDzure31785,0,,,
CindyDzure31785,0,,,
CindyDzure31785,0,,,
CindyDzure31785,0,,,
CindyDzure31785,0,,,
CindyDzure31785,0,,,
CindyDzure31785,0,,,
CindyDzure31785,0,,,
CindyDzure31785,0,,,
AmitChoudh89762,0,,,
AmitChoudh89762,0,,,
AmitChoudh89762,0,,,
AmitChoudh89762,0,,,
AmitChoudh89762,0,,,
AmitChoudh89762,0,,,
AmitChoudh89762,0,,,
AmitChoudh89762,0,,,
AmitChoudh89762,0,,,
seemtk45,0,,,
seemtk45,0,,,
seemtk45,0,,,
seemtk45,0,,,
seemtk45,0,,,
seemtk45,0,,,
seemtk45,0,,,
seemtk45,0,,,
seemtk45,0,,,
Ezegold0806,0,,,
Ezegold0806,0,,,
Ezegold0806,0,,,
Ezegold0806,0,,,
Ezegold0806,0,,,
Ezegold0806,0,,,
Ezegold0806,0,,,
Ezegold0806,0,,,
Ezegold0806,0,,,
Lacmlny,0,,,
Lacmlny,0,,,
Lacmlny,0,,,
Lacmlny,0,,,
Lacmlny,0,,,
Lacmlny,0,,,
Lacmlny,0,,,
Lacmlny,0,,,
Lacmlny,0,,,
CryptoTodaynet,0,,,
tundestilldey,0,,,
MediaReaders,0,,,
JuliusKinyae,0,,,
PRZCBABY,0,,,
PRZCBABY,0,,,
PRZCBABY,0,,,
HaSh1613570,0,,,
HaSh1613570,0,,,
HaSh1613570,0,,,
mekhz46654565,0,,,
mekhz46654565,0,,,
mekhz46654565,0,,,
Eyanaaa___,0,,,
sayoko0604eien,0,,,
rinaldiidmc,0,,,
rinaldiidmc,0,,,
nhodnhed,0,,,
nhodnhed,0,,,
SarahGriff48281,0,,,
TitanDefi44065,0,,,
TobilobaAO1,0,,,
CTNg_Prince,0,,,
fjc156,0,,,
Demonopol_DAO,0,,,
Prophet_50,0,,,
Prophet_50,0,,,
Prophet_50,0,,,
putri_kendrik,0,,,
putri_kendrik,0,,,
putri_kendrik,0,,,
alphaminna,0,,,
alphaminna,0,,,
alphaminna,0,,,
VisitsAngel,0,,,
cryptosriLank,0,,,
Musk578627,0,,,
Eyanaaa___,0,,,
iCharlAgent_io,0,,,
maskboy99,0,,,
Exito111,0,,,
SarahGriff48281,0,,,
notphilneeds,0,,,
SarahGriff48281,0,,,
SpergAgent,0,,,
AghoBasil,0,,,
AghoBasil,0,,,
AghoBasil,0,,,
Kae_XVI,0,,,
Kae_XVI,0,,,
Kae_XVI,0,,,
dannyk995,0,,,
dannyk995,0,,,
dannyk995,0,,,
Wajeedgem,0,,,
CryptoZ44368,0,,,
rvnes102,0,,,
9XwinLegitx,0,,,
9XwinLegitx,0,,,
easyteruzzz,0,,,
easyteruzzz,0,,,
Hamida779638,0,,,
graemeSteyan,0,,,
SalvaMayarditPR,0,,,
CapalotNyben,0,,,
Apple872660,0,,,
Apple872660,0,,,
BingoDepo18917,0,,,
BingoDepo18917,0,,,
sathlerv8,0,,,
bobb_iee,0,,,
bobb_iee,0,,,
billionbuoy,0,,,
billionbuoy,0,,,
BingoDepo18917,0,,,
SarahGriff48281,0,,,
01_hugo73318,0,,,
FrancisOlaleke,0,,,
BRNZ_ai,0,,,
baldoran6655,0,,,
MarcosP31609812,0,,,
wai_ay53320,0,,,
CoinnessGL,0,,,
Roserose1145135,0,,,
olekaebere1,0,,,
MIbiejemit49237,0,,,
Playboy0776,0,,,
bochaukem96,0,,,
StabletradersN,0,,,
CryptoTodaygl,0,,,
FavorW12,0,,,
Anbu65781136571,0,,,
