text,author_id,created_at,id,edit_history_tweet_ids,public_metrics.retweet_count_tweets,public_metrics.reply_count_tweets,public_metrics.like_count_tweets,public_metrics.quote_count_tweets,public_metrics.bookmark_count_tweets,public_metrics.impression_count_tweets,note_tweet.entities.hashtags_tweets,note_tweet.entities.urls_tweets,note_tweet.entities.cashtags,note_tweet.entities.mentions_tweets,note_tweet.text_tweets,referenced_tweet_id,tweet_url,tweet_id,referenced_author_id,public_metrics.retweet_count_inc,public_metrics.reply_count_inc,public_metrics.like_count_inc,public_metrics.quote_count_inc,public_metrics.bookmark_count_inc,public_metrics.impression_count_inc,note_tweet.entities.mentions_inc,note_tweet.text_inc,note_tweet.entities.hashtags_inc,note_tweet.entities.urls_inc,author_name,author_username,referenced_author_created_at,referenced_author_description,referenced_username,referenced_author_name,category,score,reasoning
"RT @moonpay: 💸 MOONPAY MADNESS 💸

we're giving away $3,000 in crypto to our followers over the next 30 days 

$100 a day, starting March 18…",91047182,2025-03-18T20:32:15.000Z,1902095729080070618,['1902095729080070618'],1235,0,0,0,0,0,,,,,,1901779147254272459,https://x.com/x/status/1902095729080070618,1901779147254272459,1024699964071522305,1235.0,2619.0,2849.0,26.0,178.0,119452.0,,,,,Noah 🔰,https://x.com/NoahXBTC,2018-08-01T16:54:44.000Z,"Easily buy BTC, ETH, XRP, SOL, LTC, and 100+ tokens in 180 countries using your favorite payment methods. Pay zero MoonPay fees when you use MoonPay Balance!",moonpay,MoonPay 🟣,Crypto Giveaway,6,"The tweet scores 4 points for mentioning Moonpay, a crypto payment company, and an additional 2 points for the crypto context. The category 'Crypto Giveaway' reflects the tweet's focus on a promotional event involving cryptocurrency distribution."
"@FameEXGlobal @gomblegames Exploding project $G by @gomblegames seems promising, #FameEX should definitely consider adding to the listings to catch the hype! 🚀🌕 #cryptocurrency #blockchain

$AGIX #BULLMARKET $Near $inj $TORN $USX $HIGH #ApeCoin",1795312365719650304,2025-03-18T20:32:25.000Z,1902095769559011678,['1902095769559011678'],0,0,0,0,0,1,,,,,,1901891322275065894,https://x.com/x/status/1902095769559011678,1901891322275065894,1136254972830425090,1.0,1.0,4.0,1.0,0.0,3794.0,"[{'start': 21, 'end': 33, 'username': 'gomblegames', 'id': '1501728386427015170'}]","🚨 Trending Alert👉 $G @gomblegames

#Gomble Game is 111%’s #Web3 project, bringing player ownership and rewards to blockchain gaming. Backed by a veteran team, its #TGE is set for April and the ticker for the future token is $G. The name is yet to be decided.

👀 Should #FameEX add this token to its listings? Which token is on the hype now?

$YZY $BMT $pwease $doug $LGNS $BANANA $LION $MMC $EGGS $CESS $BOB $SSE $GOVANA $PVS $PI $AFUERA $CLIZA $RED #mubarak","[{'start': 35, 'end': 42, 'tag': 'Gomble'}, {'start': 58, 'end': 63, 'tag': 'Web3'}, {'start': 163, 'end': 167, 'tag': 'TGE'}, {'start': 269, 'end': 276, 'tag': 'FameEX'}, {'start': 450, 'end': 458, 'tag': 'mubarak'}]",,Brenda Romero,https://x.com/BrendaR29841869,2019-06-05T12:54:30.000Z,"A rising global crypto exchange with 5 years of experience to offer secure and simple services for derivatives and spot trading.

🔗 https://t.co/EbiOIcnL4U",FameEXGlobal,FameEX GLOBAL,Blockchain,6,"The tweet mentions blockchain and cryptocurrency, earning +2 for mentioning blockchain. It also references a project ($G) by a company (@gomblegames), but does not explicitly state it as a startup, so it does not qualify for additional points for mentioning a startup or a blockchain startup."
"@FameEXGlobal @gomblegames Exploding project $G by @gomblegames seems promising, #FameEX should definitely consider adding to the listings to catch the hype! 🚀🌕 #cryptocurrency #blockchain

$AGIX #BULLMARKET $Near $inj $TORN $USX $HIGH #ApeCoin",1795312365719650304,2025-03-18T20:32:25.000Z,1902095769559011678,['1902095769559011678'],0,0,0,0,0,1,,,,,,1901891322275065894,https://x.com/x/status/1902095769559011678,1901891322275065894,1136254972830425090,1.0,1.0,4.0,1.0,0.0,3794.0,"[{'start': 21, 'end': 33, 'username': 'gomblegames', 'id': '1501728386427015170'}]","🚨 Trending Alert👉 $G @gomblegames

#Gomble Game is 111%’s #Web3 project, bringing player ownership and rewards to blockchain gaming. Backed by a veteran team, its #TGE is set for April and the ticker for the future token is $G. The name is yet to be decided.

👀 Should #FameEX add this token to its listings? Which token is on the hype now?

$YZY $BMT $pwease $doug $LGNS $BANANA $LION $MMC $EGGS $CESS $BOB $SSE $GOVANA $PVS $PI $AFUERA $CLIZA $RED #mubarak","[{'start': 35, 'end': 42, 'tag': 'Gomble'}, {'start': 58, 'end': 63, 'tag': 'Web3'}, {'start': 163, 'end': 167, 'tag': 'TGE'}, {'start': 269, 'end': 276, 'tag': 'FameEX'}, {'start': 450, 'end': 458, 'tag': 'mubarak'}]",,Brenda Romero,https://x.com/BrendaR29841869,2019-06-05T12:54:30.000Z,"A rising global crypto exchange with 5 years of experience to offer secure and simple services for derivatives and spot trading.

🔗 https://t.co/EbiOIcnL4U",FameEXGlobal,FameEX GLOBAL,Blockchain Startup,6,"The tweet mentions a promising project $G by @gomblegames, which is considered a startup, and it explicitly references blockchain and cryptocurrency. The score reflects the mention of a blockchain-related startup and the general context of blockchain and cryptocurrency hype."
"RT @FameEXGlobal: 🚨 Trending Alert👉 $G @gomblegames

#Gomble Game is 111%’s #Web3 project, bringing player ownership and rewards to blockch…",1795312365719650304,2025-03-18T20:32:12.000Z,1902095713959555138,['1902095713959555138'],1,0,0,0,0,0,,,,,,1901891322275065894,https://x.com/x/status/1902095713959555138,1901891322275065894,1136254972830425090,1.0,1.0,4.0,1.0,0.0,3794.0,"[{'start': 21, 'end': 33, 'username': 'gomblegames', 'id': '1501728386427015170'}]","🚨 Trending Alert👉 $G @gomblegames

#Gomble Game is 111%’s #Web3 project, bringing player ownership and rewards to blockchain gaming. Backed by a veteran team, its #TGE is set for April and the ticker for the future token is $G. The name is yet to be decided.

👀 Should #FameEX add this token to its listings? Which token is on the hype now?

$YZY $BMT $pwease $doug $LGNS $BANANA $LION $MMC $EGGS $CESS $BOB $SSE $GOVANA $PVS $PI $AFUERA $CLIZA $RED #mubarak","[{'start': 35, 'end': 42, 'tag': 'Gomble'}, {'start': 58, 'end': 63, 'tag': 'Web3'}, {'start': 163, 'end': 167, 'tag': 'TGE'}, {'start': 269, 'end': 276, 'tag': 'FameEX'}, {'start': 450, 'end': 458, 'tag': 'mubarak'}]",,Brenda Romero,https://x.com/BrendaR29841869,2019-06-05T12:54:30.000Z,"A rising global crypto exchange with 5 years of experience to offer secure and simple services for derivatives and spot trading.

🔗 https://t.co/EbiOIcnL4U",FameEXGlobal,FameEX GLOBAL,Web3 Game,6,"The tweet mentions a Web3 project focused on gaming, which implies blockchain technology, hence a score of 2 for blockchain. No specific startup is named, but 'Gomble Game' suggests a company or project, adding another 2 points. The category 'Web3 Game' reflects the tweet's emphasis on gaming within the Web3 space."
"RT @FameEXGlobal: 🚨 Trending Alert👉 $G @gomblegames

#Gomble Game is 111%’s #Web3 project, bringing player ownership and rewards to blockch…",1795312365719650304,2025-03-18T20:32:12.000Z,1902095713959555138,['1902095713959555138'],1,0,0,0,0,0,,,,,,1901891322275065894,https://x.com/x/status/1902095713959555138,1901891322275065894,1136254972830425090,1.0,1.0,4.0,1.0,0.0,3794.0,"[{'start': 21, 'end': 33, 'username': 'gomblegames', 'id': '1501728386427015170'}]","🚨 Trending Alert👉 $G @gomblegames

#Gomble Game is 111%’s #Web3 project, bringing player ownership and rewards to blockchain gaming. Backed by a veteran team, its #TGE is set for April and the ticker for the future token is $G. The name is yet to be decided.

👀 Should #FameEX add this token to its listings? Which token is on the hype now?

$YZY $BMT $pwease $doug $LGNS $BANANA $LION $MMC $EGGS $CESS $BOB $SSE $GOVANA $PVS $PI $AFUERA $CLIZA $RED #mubarak","[{'start': 35, 'end': 42, 'tag': 'Gomble'}, {'start': 58, 'end': 63, 'tag': 'Web3'}, {'start': 163, 'end': 167, 'tag': 'TGE'}, {'start': 269, 'end': 276, 'tag': 'FameEX'}, {'start': 450, 'end': 458, 'tag': 'mubarak'}]",,Brenda Romero,https://x.com/BrendaR29841869,2019-06-05T12:54:30.000Z,"A rising global crypto exchange with 5 years of experience to offer secure and simple services for derivatives and spot trading.

🔗 https://t.co/EbiOIcnL4U",FameEXGlobal,FameEX GLOBAL,Web3 Game,6,"The tweet mentions a Web3 project related to gaming, which implies blockchain technology, earning a score of 4 for the blockchain context. An additional 2 points were added because the project 'Gomble Game' is highlighted as trending, increasing its relevance."
"@cletusEllijah @FydeLabs Building in Web3 isn’t easy, but innovation never is. Keep pushing forward—this space thrives on resilience and creativity!",1832852706345574400,2025-03-18T20:32:48.000Z,1902095868150378963,['1902095868150378963'],0,0,0,0,0,0,,,,,,1901519232141001151,https://x.com/x/status/1902095868150378963,1901519232141001151,1165706789226209280,73.0,9.0,85.0,0.0,0.0,377.0,,"GM GM! Wondering why I’m constantly buzzing about $FYDE? 

A key factor is its buyback wallet, which allows the project to snap up tokens or shares, driving up value by shrinking supply while signaling a bold commitment to its future. That move boosts my optimism and deepens trust. 

MARCH IS FOR DEFI!",,,Theodorah Winner,https://x.com/TheodorahW23375,2019-08-25T19:25:55.000Z,Content Creator  🥥 || Frontend Dev 🧑‍💻 || Community Manager || Ambassador @BluefinApp | @maplefinance | @estatexeu | @MAIV_FINANCE,cletusEllijah,Cletus Elijah,Web3,6,"The tweet scores 4 for mentioning 'Building in Web3', which implies blockchain technology, and an additional 2 for the context of innovation and resilience in this space. The category 'Web3' is chosen as it directly references the tweet's focus on Web3 development."
"@ElegantSnowWhit @Didotxyz_ I love the concept, but I’m curious—what’s the biggest challenge the team is currently facing in development or adoption? Every Web3 project seems to have its own hurdles.",1496506483546243084,2025-03-18T20:32:34.000Z,1902095807974928721,['1902095807974928721'],0,0,0,0,0,0,,,,,,1901971937624023512,https://x.com/x/status/1902095807974928721,1901971937624023512,1221900260274057218,13.0,11.0,12.0,0.0,0.0,84.0,"[{'start': 88, 'end': 98, 'username': 'Didotxyz_', 'id': '1873723608167759872'}, {'start': 227, 'end': 237, 'username': 'Didotxyz_', 'id': '1873723608167759872'}, {'start': 298, 'end': 311, 'username': 'datamallcoin', 'id': '1464061949151305730'}, {'start': 312, 'end': 322, 'username': 'Didotxyz_', 'id': '1873723608167759872'}]","Secure Your AI Data & Earn with #DI: Powered by $DMC 

1/ Data security is paramount at @Didotxyz_ Your information is encrypted and controlled by smart contracts, ensuring only you have access.

Your AI journey is secure with @Didotxyz_ 

#DataPrivacy #AISecurity #Web3Security

Sponsored by $DMC @datamallcoin @Didotxyz_","[{'start': 32, 'end': 35, 'tag': 'DI'}, {'start': 240, 'end': 252, 'tag': 'DataPrivacy'}, {'start': 253, 'end': 264, 'tag': 'AISecurity'}, {'start': 265, 'end': 278, 'tag': 'Web3Security'}]",,Crave Meta,https://x.com/Ellijjahcllettu,2020-01-27T20:58:40.000Z,"Writer | @metisL2☘️ | @arbitrum (💙, 🧡) @AdventureLayer | Tokenization will change the world $OM @mantra_chain / $waves 3PLE8Rtpmq6drw7fRvWNJcknK8tzASHpWSw",ElegantSnowWhit,Mercy$now,Web3,6,"The tweet mentions a Web3 project and discusses challenges in development or adoption, which is relevant to the blockchain space. Although it does not explicitly mention a startup or company, the context implies involvement with a blockchain-related project."
"RT @Beamable: 🚀 Beamable Network Site &amp; Dashboard are officially Live! 🎮

Web3 gaming is evolving fast, and we're leading the charge with t…",1775004254161285120,2025-03-18T20:32:25.000Z,1902095771941662815,['1902095771941662815'],121752,0,0,0,0,0,,,,,,1897692463931740500,https://x.com/x/status/1902095771941662815,1897692463931740500,1250790964161064960,121751.0,63801.0,94506.0,1842.0,2572.0,417840.0,,"🚀 Beamable Network Site & Dashboard are officially Live! 🎮

Web3 gaming is evolving fast, and we're leading the charge with the Beamable Network website & dashboard – a powerful hub for developers & contributors to engage with a cutting-edge DePIN ecosystem.

🔹 What is Beamable Network?
A scalable, high-performance infrastructure designed to power the next-gen of decentralized games. Dev-friendly, cost-effective & built for seamless Web3 integration.
✅ Real-time network insights
✅ Developer tools & SDKs
✅ Node operator dashboard
✅ Seamless Web3 monetization

🎮 Why Beamable Network?
⚡ Built for gaming – Optimized for multiplayer & real-time experiences
💰 Top-10 DePIN by revenue – A leading force in decentralized game infra
🚀 Scalable & cost-efficient – Solana-powered, low-cost transactions
🌍 Community-driven – Anyone can contribute to a decentralized future

Join us & explore the new dashboard NOW at https://t.co/SfgUl0xdoH 🌐

The future of gaming is here! 🎮🔥",,"[{'start': 913, 'end': 936, 'url': 'https://t.co/SfgUl0xdoH', 'expanded_url': 'https://hubs.ly/Q039Ky6w0', 'display_url': 'hubs.ly/Q039Ky6w0'}]",Almustapha Muhammad Sani clone,https://x.com/Alxeeeee001,2020-04-16T14:19:46.000Z,"Seamlessly powering Unity & Unreal with decentralized backends. Built by game devs, backed by Web3.",Beamable,Beamable,Web3 Gaming,6,"The tweet scores +2 for mentioning Beamable, a startup, and +2 for implicitly referencing blockchain through 'Web3'. The category 'Web3 Gaming' is chosen as it directly relates to the tweet's focus on Beamable's advancements in this area."
"RT @Beamable: 🚀 Beamable Network Site &amp; Dashboard are officially Live! 🎮

Web3 gaming is evolving fast, and we're leading the charge with t…",1775004254161285120,2025-03-18T20:32:25.000Z,1902095771941662815,['1902095771941662815'],121752,0,0,0,0,0,,,,,,1897692463931740500,https://x.com/x/status/1902095771941662815,1897692463931740500,1250790964161064960,121751.0,63801.0,94506.0,1842.0,2572.0,417840.0,,"🚀 Beamable Network Site & Dashboard are officially Live! 🎮

Web3 gaming is evolving fast, and we're leading the charge with the Beamable Network website & dashboard – a powerful hub for developers & contributors to engage with a cutting-edge DePIN ecosystem.

🔹 What is Beamable Network?
A scalable, high-performance infrastructure designed to power the next-gen of decentralized games. Dev-friendly, cost-effective & built for seamless Web3 integration.
✅ Real-time network insights
✅ Developer tools & SDKs
✅ Node operator dashboard
✅ Seamless Web3 monetization

🎮 Why Beamable Network?
⚡ Built for gaming – Optimized for multiplayer & real-time experiences
💰 Top-10 DePIN by revenue – A leading force in decentralized game infra
🚀 Scalable & cost-efficient – Solana-powered, low-cost transactions
🌍 Community-driven – Anyone can contribute to a decentralized future

Join us & explore the new dashboard NOW at https://t.co/SfgUl0xdoH 🌐

The future of gaming is here! 🎮🔥",,"[{'start': 913, 'end': 936, 'url': 'https://t.co/SfgUl0xdoH', 'expanded_url': 'https://hubs.ly/Q039Ky6w0', 'display_url': 'hubs.ly/Q039Ky6w0'}]",Almustapha Muhammad Sani clone,https://x.com/Alxeeeee001,2020-04-16T14:19:46.000Z,"Seamlessly powering Unity & Unreal with decentralized backends. Built by game devs, backed by Web3.",Beamable,Beamable,Web3 Gaming,8,"The tweet scores +4 for mentioning Beamable, a company involved in blockchain technology, and an additional +2 for referencing Web3, which is closely related to blockchain. The category 'Web3 Gaming' is chosen as the tweet focuses on Beamable's advancements in this specific field."
"RT @Beamable: 🚀 Beamable Network Site &amp; Dashboard are officially Live! 🎮

Web3 gaming is evolving fast, and we're leading the charge with t…",1775004254161285120,2025-03-18T20:32:25.000Z,1902095771941662815,['1902095771941662815'],121752,0,0,0,0,0,,,,,,1897692463931740500,https://x.com/x/status/1902095771941662815,1897692463931740500,1250790964161064960,121751.0,63801.0,94506.0,1842.0,2572.0,417840.0,,"🚀 Beamable Network Site & Dashboard are officially Live! 🎮

Web3 gaming is evolving fast, and we're leading the charge with the Beamable Network website & dashboard – a powerful hub for developers & contributors to engage with a cutting-edge DePIN ecosystem.

🔹 What is Beamable Network?
A scalable, high-performance infrastructure designed to power the next-gen of decentralized games. Dev-friendly, cost-effective & built for seamless Web3 integration.
✅ Real-time network insights
✅ Developer tools & SDKs
✅ Node operator dashboard
✅ Seamless Web3 monetization

🎮 Why Beamable Network?
⚡ Built for gaming – Optimized for multiplayer & real-time experiences
💰 Top-10 DePIN by revenue – A leading force in decentralized game infra
🚀 Scalable & cost-efficient – Solana-powered, low-cost transactions
🌍 Community-driven – Anyone can contribute to a decentralized future

Join us & explore the new dashboard NOW at https://t.co/SfgUl0xdoH 🌐

The future of gaming is here! 🎮🔥",,"[{'start': 913, 'end': 936, 'url': 'https://t.co/SfgUl0xdoH', 'expanded_url': 'https://hubs.ly/Q039Ky6w0', 'display_url': 'hubs.ly/Q039Ky6w0'}]",Almustapha Muhammad Sani clone,https://x.com/Alxeeeee001,2020-04-16T14:19:46.000Z,"Seamlessly powering Unity & Unreal with decentralized backends. Built by game devs, backed by Web3.",Beamable,Beamable,Web3 Gaming,6,"The tweet mentions 'Beamable', a startup, and 'Web3 gaming', which adds to the relevance score. It does not explicitly mention blockchain, but the context of Web3 implies blockchain technology, leading to the category and adjusted score."
