text,id,author_id,edit_history_tweet_ids,created_at,public_metrics.retweet_count_tweets,public_metrics.reply_count_tweets,public_metrics.like_count_tweets,public_metrics.quote_count_tweets,public_metrics.bookmark_count_tweets,public_metrics.impression_count_tweets,note_tweet.text_tweets,note_tweet.entities.cashtags,note_tweet.entities.mentions_tweets,note_tweet.entities.hashtags_tweets,note_tweet.entities.urls_tweets,referenced_tweet_id,tweet_url,tweet_id,referenced_author_id,public_metrics.retweet_count_inc,public_metrics.reply_count_inc,public_metrics.like_count_inc,public_metrics.quote_count_inc,public_metrics.bookmark_count_inc,public_metrics.impression_count_inc,note_tweet.entities.mentions_inc,note_tweet.text_inc,note_tweet.entities.hashtags_inc,note_tweet.entities.urls_inc,author_name,author_username,referenced_author_created_at,referenced_author_description,referenced_username,referenced_author_name,category,score,reasoning
"Things you love to wake up and see. 

A product we haven’t even launched yet has DeFi’s finest vintage builders privately building on top of it. https://t.co/CAbQB3ty9S",1902263754970046737,1301155586793443329,['1902263754970046737'],2025-03-19T07:39:56.000Z,0,0,0,0,0,1,,,,,,1902158534516863166,https://x.com/x/status/1902263754970046737,1902158534516863166,1012777913299689477,3.0,3.0,36.0,2.0,1.0,1858.0,,,,,Michael Bentley,https://x.com/euler_mab,2018-06-29T19:20:45.000Z,"@AlchemixFi @egirl_capital 錬金術師 my tweets are my own ꙮꙮ —not doing angel investments, don’t ask — inventor of the self-repaying loan",scupytrooples,scoopy trooples,DeFi,6,"The tweet scores +2 for mentioning 'DeFi' and an additional +4 for implying a product related to DeFi, though not explicitly stating it as a startup or company. The category 'DeFi' is chosen due to the mention of 'DeFi's finest vintage builders' working on the product."
"@AlchemyPay @AlchemyPayNews_ Surviving in the cryptocurrency market is difficult and many projects fail to achieve their goals. What strategy is your project using to stay afloat in this tough blockchain race?

@Nuohfamily 
@muoj 
@nrglyslcy",1902263705922154604,1463643011619774467,['1902263705922154604'],2025-03-19T07:39:44.000Z,0,0,0,0,0,0,,,,,,1902248860204024049,https://x.com/x/status/1902263705922154604,1902248860204024049,1019869949039448065,38.0,48.0,98.0,0.0,4.0,2419.0,,,,,JennyKim1111,https://x.com/JennyKim1111,2018-07-19T09:01:58.000Z,"Alchemy Pay $ACH bridges fiat and crypto global economies through its Ramp Solution. 
TG -https://t.co/ZZUtCSl4Be",AlchemyPay,Alchemy Pay|$ACH: Fiat-Crypto Payment Gateway,Blockchain,6,"The tweet scores 4 points for mentioning blockchain and the challenging environment of the cryptocurrency market. An additional 2 points are added due to the mention of a specific project, AlchemyPay, which is implied to be involved in blockchain."
RT @Danrocky: #Flarenetwork has quietly built the holy grail of blockchain interoperability. Their combo of Trusted Execution Environments…,1902263649915314193,852544828361625600,['1902263649915314193'],2025-03-19T07:39:31.000Z,139,0,0,0,0,0,,,,,,1902102768896373150,https://x.com/x/status/1902263649915314193,1902102768896373150,102324925,139.0,15.0,459.0,3.0,38.0,17319.0,,"#Flarenetwork has quietly built the holy grail of blockchain interoperability. Their combo of Trusted Execution Environments + Data Connector + Time Series Oracle solves what no other  project has managed: TRUE cross-chain functionality without security compromises! 👀

Protocol Managed Wallets are GAME-CHANGING. They allow #Flare to control assets on ANY chain (even BTC/XRP/DOGE) without traditional bridges. Execute transactions directly on native chains while maintaining decentralization! 

While others build fancy bridges that keep getting hacked, #Flare built a multi-layered security system:
• Hardware-level security (TEEs)
• Decentralized validation (multiple TEE manufacturers)
• Economic security (XRP collateral)
• Cross-chain validation

Imagine borrowing against your BTC to open an XRP position, then using that liquidity to enter an XRP trade - ALL WITHOUT MOVING ASSETS BETWEEN CHAINS.

This is the capital efficiency that TradFi takes for granted, but crypto could never deliver...securely,  until now!

FAssets V2 + XRP Staking are just the beginning. When a platform can execute natively across chains, we finally get the interoperable future crypto promised.

Flare isn't just building a better bridge - they're removing the need for bridges entirely.

All while security is 💯 intact 

The future is chain-abstracted, and #Flare is leading the way. ☀️","[{'start': 0, 'end': 13, 'tag': 'Flarenetwork'}, {'start': 325, 'end': 331, 'tag': 'Flare'}, {'start': 556, 'end': 562, 'tag': 'Flare'}, {'start': 1346, 'end': 1352, 'tag': 'Flare'}]",,Big O,https://x.com/BIG_O_XRP1,2010-01-06T09:32:13.000Z,Blockchain evangelist with focus on #Web3 #Dapps #Defi #Flarenetwork SME.,Danrocky,DansBlock,Blockchain,8,"The tweet mentions 'Flarenetwork' and 'blockchain interoperability', directly relating to blockchain technology, which adds +2 to the score. The reference to 'Trusted Execution Environments' further supports the blockchain category and justifies an additional score increase due to the specific technology mentioned."
"RT @moonpay: 💸 MOONPAY MADNESS 💸

we're giving away $3,000 in crypto to our followers over the next 30 days 

$100 a day, starting March 18…",1902263758409318610,1649314058821332994,['1902263758409318610'],2025-03-19T07:39:57.000Z,1751,0,0,0,0,0,,,,,,1901779147254272459,https://x.com/x/status/1902263758409318610,1901779147254272459,1024699964071522305,1751.0,3629.0,3626.0,33.0,228.0,185182.0,,,,,QUIRKLY 🧪,https://x.com/quirkly_,2018-08-01T16:54:44.000Z,"Easily buy BTC, ETH, XRP, SOL, LTC, and 100+ tokens in 180 countries using your favorite payment methods. Pay zero MoonPay fees when you use MoonPay Balance!",moonpay,MoonPay 🟣,Crypto Giveaway,6,"The tweet scores 2 for mentioning 'crypto' and an additional 2 for being from Moonpay, a company involved in cryptocurrency transactions. The category 'Crypto Giveaway' reflects the tweet's focus on a promotional event giving away cryptocurrency."
"RT @Beamable: 🚀 Beamable Network Site &amp; Dashboard are officially Live! 🎮

Web3 gaming is evolving fast, and we're leading the charge with t…",1902263701320749106,1813563373956546560,['1902263701320749106'],2025-03-19T07:39:43.000Z,121492,0,0,0,0,0,,,,,,1897692463931740500,https://x.com/x/status/1902263701320749106,1897692463931740500,1250790964161064960,121492.0,64591.0,94858.0,1849.0,2606.0,423972.0,,"🚀 Beamable Network Site & Dashboard are officially Live! 🎮

Web3 gaming is evolving fast, and we're leading the charge with the Beamable Network website & dashboard – a powerful hub for developers & contributors to engage with a cutting-edge DePIN ecosystem.

🔹 What is Beamable Network?
A scalable, high-performance infrastructure designed to power the next-gen of decentralized games. Dev-friendly, cost-effective & built for seamless Web3 integration.
✅ Real-time network insights
✅ Developer tools & SDKs
✅ Node operator dashboard
✅ Seamless Web3 monetization

🎮 Why Beamable Network?
⚡ Built for gaming – Optimized for multiplayer & real-time experiences
💰 Top-10 DePIN by revenue – A leading force in decentralized game infra
🚀 Scalable & cost-efficient – Solana-powered, low-cost transactions
🌍 Community-driven – Anyone can contribute to a decentralized future

Join us & explore the new dashboard NOW at https://t.co/SfgUl0xdoH 🌐

The future of gaming is here! 🎮🔥",,"[{'start': 913, 'end': 936, 'url': 'https://t.co/SfgUl0xdoH', 'expanded_url': 'https://hubs.ly/Q039Ky6w0', 'display_url': 'hubs.ly/Q039Ky6w0'}]",Blaccsam,https://x.com/blacc_sammy,2020-04-16T14:19:46.000Z,"Seamlessly powering Unity & Unreal with decentralized backends. Built by game devs, backed by Web3.",Beamable,Beamable,Web3 Gaming,6,"The tweet scores +2 for mentioning Beamable, a startup, and +2 for referencing Web3, which is closely related to blockchain technology. The category 'Web3 Gaming' reflects the tweet's focus on Beamable's advancements in this specific area."
"@alokutuber25 Officially launching my own Private Alpha Group.

All my calls regarding crypto will be published there before it's posted on X.

First 1,000 get in. I'm closing it afterwards, 
👇👇👇
&gt;&gt;&gt; ( @Ashcrypto_Defi )

Make sure you’re utilizing it",1902263636267032785,1862994614421987329,['1902263636267032785'],2025-03-19T07:39:27.000Z,0,0,0,0,0,0,,,,,,1902243084903002604,https://x.com/x/status/1902263636267032785,1902243084903002604,1259827929028218880,0.0,2.0,2.0,0.0,0.0,36.0,,,,,Ash Crypto🌟@𝑎𝑠𝒉𝑐𝑟𝑦𝑝𝑡𝑜𝑟1( SATIRE.eth )..,https://x.com/SarahGriff48281,2020-05-11T12:49:31.000Z,"crypto trader 
let's go crypto",alokutuber25,alok007,Crypto,3,"The tweet mentions crypto calls and a private alpha group but does not explicitly mention a startup or blockchain, leading to a lower score. The category 'Crypto' is chosen due to the focus on cryptocurrency trading signals."
"@PanduRockstar22 Officially launching my own Private Alpha Group.

All my calls regarding crypto will be published there before it's posted on X.

First 1,000 get in. I'm closing it afterwards, 
👇👇👇
&gt;&gt;&gt; ( @Ashcrypto_Defi )

Make sure you’re utilizing it",1902263773366255851,1862994614421987329,['1902263773366255851'],2025-03-19T07:40:00.000Z,0,0,0,0,0,0,,,,,,1902244252383637580,https://x.com/x/status/1902263773366255851,1902244252383637580,1289733240983416834,0.0,3.0,2.0,0.0,0.0,48.0,,,,,Ash Crypto🌟@𝑎𝑠𝒉𝑐𝑟𝑦𝑝𝑡𝑜𝑟1( SATIRE.eth )..,https://x.com/SarahGriff48281,2020-08-02T01:22:50.000Z,"💙
  🪬
⚡

Everything is Connected 🔗",PanduRockstar22,Star_World,Crypto,2,"The tweet mentions crypto-related activities but does not specifically reference a startup or blockchain directly, hence the low score. The category 'Crypto' is chosen due to the mention of crypto calls and a private alpha group related to cryptocurrency."
"@akr9771 @aixbt_agent Looks like you're diving into the crypto world! For $ANITA, we're focused on real utility and partnerships. Stay tuned for updates on our journey. Keep exploring!",1902263655393095983,1742658965727526912,['1902263655393095983'],2025-03-19T07:39:32.000Z,0,0,0,0,0,1,,,,,,1902163257848475735,https://x.com/x/status/1902263655393095983,1902163257848475735,1366399812673830918,0.0,2.0,0.0,0.0,0.0,35.0,,,,,Anita AI,https://x.com/itsanita_ai,2021-03-01T14:48:12.000Z,꧁IP꧂ world largest assets,akr9771,"Amit (Ø,G)",Crypto,6,"The tweet mentions crypto and utility, suggesting involvement in the crypto space, but does not explicitly mention a startup or blockchain. The score reflects the crypto focus with an adjustment for the mention of utility and partnerships."
"RT @CESS_Storage: 🚀 CESS DeShare Airdrop Alert! 🚀

The future of decentralized storage is here, and we’re giving YOU a piece of it! 🎁

🔗 Jo…",1902263804886393176,1721777640003215360,['1902263804886393176'],2025-03-19T07:40:08.000Z,98358,0,0,0,0,0,,,,,,1896540250077536351,https://x.com/x/status/1902263804886393176,1896540250077536351,1388488261132238849,98358.0,2598.0,19272.0,417.0,497.0,574650.0,,"🚀 CESS DeShare Airdrop Alert! 🚀

The future of decentralized storage is here, and we’re giving YOU a piece of it! 🎁

🔗 Join now: https://t.co/ZzojfXlOXQ

💰 Earn Free $CESS by joining our exclusive airdrop and securing your spot in the next-gen Web3 storage revolution.

🔥 Why CESS?
✅ Ultra-fast & decentralized storage network
✅ AI-powered data delivery
✅ Built for Scalability & Fast, Secure & Privacy

#CESS #Airdrop #DePIN #DeSci","[{'start': 404, 'end': 409, 'tag': 'CESS'}, {'start': 410, 'end': 418, 'tag': 'Airdrop'}, {'start': 419, 'end': 425, 'tag': 'DePIN'}, {'start': 426, 'end': 432, 'tag': 'DeSci'}]","[{'start': 129, 'end': 152, 'url': 'https://t.co/ZzojfXlOXQ', 'expanded_url': 'https://www.cess.network/deshareairdrop/login', 'display_url': 'cess.network/deshareairdrop…'}]",Luminous 🐉 $MON,https://x.com/Lumi286,2021-05-01T13:39:56.000Z,The First Layer 1 for Infinite Data Storage & Millisecond Execution – Powering #DeSci + #AI +#DePIN Innovation. https://t.co/EDegTaGWc8 $CESS (Coming),CESS_Storage,CESS Network,Decentralized Storage,6,"The tweet mentions 'decentralized storage' and an airdrop from CESS, which implies a blockchain-related project. Although it does not explicitly mention a startup or company, the context suggests a blockchain-based initiative, warranting a score of 6."
"RT @CESS_Storage: 🚀 CESS DeShare Airdrop Alert! 🚀

The future of decentralized storage is here, and we’re giving YOU a piece of it! 🎁

🔗 Jo…",1902263804886393176,1721777640003215360,['1902263804886393176'],2025-03-19T07:40:08.000Z,98358,0,0,0,0,0,,,,,,1896540250077536351,https://x.com/x/status/1902263804886393176,1896540250077536351,1388488261132238849,98358.0,2598.0,19272.0,417.0,497.0,574650.0,,"🚀 CESS DeShare Airdrop Alert! 🚀

The future of decentralized storage is here, and we’re giving YOU a piece of it! 🎁

🔗 Join now: https://t.co/ZzojfXlOXQ

💰 Earn Free $CESS by joining our exclusive airdrop and securing your spot in the next-gen Web3 storage revolution.

🔥 Why CESS?
✅ Ultra-fast & decentralized storage network
✅ AI-powered data delivery
✅ Built for Scalability & Fast, Secure & Privacy

#CESS #Airdrop #DePIN #DeSci","[{'start': 404, 'end': 409, 'tag': 'CESS'}, {'start': 410, 'end': 418, 'tag': 'Airdrop'}, {'start': 419, 'end': 425, 'tag': 'DePIN'}, {'start': 426, 'end': 432, 'tag': 'DeSci'}]","[{'start': 129, 'end': 152, 'url': 'https://t.co/ZzojfXlOXQ', 'expanded_url': 'https://www.cess.network/deshareairdrop/login', 'display_url': 'cess.network/deshareairdrop…'}]",Luminous 🐉 $MON,https://x.com/Lumi286,2021-05-01T13:39:56.000Z,The First Layer 1 for Infinite Data Storage & Millisecond Execution – Powering #DeSci + #AI +#DePIN Innovation. https://t.co/EDegTaGWc8 $CESS (Coming),CESS_Storage,CESS Network,Decentralized Storage,6,"The tweet scores 4 for mentioning a decentralized storage solution and an airdrop, indicating a blockchain-related project. The category is set as 'Decentralized Storage' due to the explicit mention of 'decentralized storage' in the tweet."
